cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
9548203,53,530010,UBS 9 ZONA RURAL DE BRAZLANDIA,INCRA 8 CAAG Q 15,BRAZLANDIA,-15.743074,-48.170263
9566961,53,530010,UBS 18 PLANALTINA,SETOR RECREATIVO E CULTURAL MODULO ESPORTIVO,PLANALTINA,-15.6150057755,-47.6514816284
9566988,53,530010,UBS 19 PLANALTINA,SETOR RESIDENCIAL OESTE VILA NOSSA SRA DE FATIMA,PLANALTINA,-15.6053476,-47.6601626
9571280,53,530010,UBS 8 TORRE DE BRAZLANDIA,RADIOBRAS CHACARA ST HELENA CAPELA RURAL OESTE,BRAZLANDIA,-15.627231,-48.119977
9572481,53,530010,UBS 3 ITAPOA,QUADRA 378 CONJ A DEL LAGO N 4,ITAPOA,-15.7448627833,-47.7609282716
9572511,53,530010,UBS 3 PARANOA PARQUE,QUADRA 2 CONJUNTO 6 AREA ESPECIAL 4,PARANOA,-15.767980273,-47.7917082783
9643338,53,530010,UBS 18 CAIC BERNARDO SAYAO,QNN 28 LOTES H I J K GUARIROBA,CEILANDIA,-15.832347,-48.114516
9647597,53,530010,UBS 13 SAMAMBAIA,QS 615 AREA ESPECIAL,SAMAMBAIA NORTE,-15.875261,-48.109817
9768637,53,530010,UBS 20 PLANALTINA,AREA ESPECIAL 9 A SETOR NORTE,PLANALTINA,-15.6123495,-47.6517498
9977090,53,530010,UBS PENITENCIARIA FEDERAL DE BRASILIA,RODOVIA DF 465,SAO SEBASTIAO,-15.903802,-47.81783
