cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
0011029,53,530010,UBS 6 CEILANDIA,EQNP 10 14 LOTES E F G H,CEILANDIA,-15.840109,-48.114345
0011053,53,530010,UBS 9 CEILANDIA,EQNP 28 32 LOTES A B C D,CEILANDIA SUL,-15.846694,-48.123528
4431618,53,530010,UBS 1 LAGO SUL,SHIS QI 21,LAGO SUL,-15.8464260085,-47.8543424606
0011681,53,530010,UBS 01 PARK WAY,AREA ESPECIAL VARGEM BONITA,PARK WAY,-15.9336794123,-47.9396807526
0010634,53,530010,UBS 1 PARANOA,QD 21 AREA ESPECIAL CONJUNTO 15,PARANOA,-15.7691951577,-47.7799193294
0010642,53,530010,UBS 01 SAMAMBAIA,QS 408 AREA ESPECIAL 01,SAMAMBAIA NORTE,-15.862526,-48.077073
0010669,53,530010,UBS 2 SANTA MARIA,EQ 217 317 LOTE E,SANTA MARIA,-16.0072471404,-47.9895687103
0010731,53,530010,UBS 1 CRUZEIRO,SHCES QUADRA 601,CRUZEIRO NOVO,-15.8007499404,-47.9421526194
0010804,53,530010,UBS 01 RECANTO DAS EMAS,QUADRA 307 AREA ESPECIAL 01,RECANTO DAS EMAS,-15.919114,-48.10147
0010812,53,530010,UBS 01 LAGO SUL,SHIS QI 21 23,LAGO SUL,-15.8464053663,-47.8542995453
0010820,53,530010,UBS 1 GAMA,EQ 6 12 AREAS ESPECIAIS,SETOR SUL GAMA,-16.0206791692,-48.0847603083
0010839,53,530010,UBS 2 GAMA,QUADRA,SETOR SUL,-16.0364649385,-48.0611618459
0010847,53,530010,UBS 3 GAMA,EQ 3 5 AREA ESPECIAL SETOR LESTE GAMA,GAMA,-16.0058342757,-48.052740097
0010855,53,530010,UBS 4 GAMA,PRACA 3 AREA ESPECIAL N,GAMA DF,-16.0260929751,-48.0568546057
0010863,53,530010,UBS 5 GAMA,QUADRA 38 AREA ESPECIAL LESTE SC,GAMA,-16.0232691,-48.0616634316
0010928,53,530010,UBS 02 TAGUATINGA,QND LOTE A PRACA DO BICALHO,TAGUATINGA NORTE,-15.810484,-48.063039
0010936,53,530010,UBS 03 TAGUATINGA,QNL 01 AE 02,TAGUATINGA NORTE,-15.832884,-48.076236
0010952,53,530010,UBS 06 TAGUATINGA,SETOR C SUL AE 01 TAGUATINGA SUL,TAGUATINGA CENTRO,-15.836187,-48.063018
0010960,53,530010,UBS 07 TAGUATINGA,QNM 36 AREA ESPECIAL N,TAGUATINGA NORTE,-15.800636,-48.09323
0010987,53,530010,UBS 2 CEILANDIA,QNN 15 LOTE F,CEILANDIA NORTE,-15.807759,-48.120503
0010995,53,530010,UBS 3 CEILANDIA,QNM 15 LOTE D AREA ESPECIAL,CEILANDIA SUL,-15.830964,-48.09647
0011010,53,530010,UBS 5 CEILANDIA,QNM 16 LOTE F AREA ESPECIAL,CEILANDIA NORTE,-15.803237,-48.111877
0011061,53,530010,UBS 11 CEILANDIA,EQNO 17 AREA ESPECIAL,CEILANDIA,-15.79821,-48.133603
0011096,53,530010,UBS 3 PLANALTINA,SETOR HOSPITALAR AREA ESPECIAL S N,PLANALTINA,-15.6247279,-47.6551879
0011134,53,530010,UBS 02 RECANTO DAS EMAS,QUADRA 102 AREA ESPECIAL,RECANTO DAS EMAS,-15.901553,-48.058533
0011169,53,530010,UBS 01 RIACHO FUNDO I,QN 09 AREA ESPECIAL 11 RIACHO FUNDO I,RIACHO FUNDO,-15.8852451226,-48.0233967304
0011215,53,530010,UBS 1 BRAZLANDIA,ENTRE QUADRA 6 8 AREA ESPECIAL 3 SETOR NORTE,SETOR NORTE,-15.677171,-48.194983
0011258,53,530010,UBS 1 SOBRADINHO II,AR 13 AREA ESPECIAL CONJUNTO 7 LOTE,SOBRADINHO II,-15.6445685304,-47.8244572878
0011266,53,530010,UBS 02 GUARA,QE 23 LOTE C AREA ESPECIAL,GUARA II,-15.8327655591,-47.9732769728
0011274,53,530010,UBS 03 GUARA,QE 38 AREA ESPECIAL,GUARA II,-15.8491946269,-47.9699939489
0011363,53,530010,UBS 5 NOVA BETANIA SAO SEBASTIAO,DF 140 KM 7 5,JARDIM BOTANICO,-15.9909319514,-47.8132139809
0011495,53,530010,UBS 6 ALMECEGAS BRAZLANDIA,FAZENDA ALMECEGAS BR DF 180 DF 205 KM 05,BRAZLANDIA,-15.538879,-48.168496
0011568,53,530010,UBS 3 NOVA COLINA SOBRADINHO,AREA ESPECIAL NOVO SETOR DE MANSOES NOVA COLINA,SOBRADINHO,-15.6480293,-47.7552849
0011592,53,530010,UBS 16 PIPIRIPAU PLANALTINA,NUCLEO RURAL PIPIRIPAU II AREA ESPECIAL,PLANALTINA,-15.534638,-47.511159
0011606,53,530010,UBS 4 JARDIM II PARANOA,NUCLEO RURAL JARDIM II DF 285 KM 19,PARANOA,-16.0163440905,-47.379658517
0011614,53,530010,UBS 5 QUEBRADA DOS NERES,DF 130 KM 56 QUEBRADA DOS NERES PARANOA,PARANOA,-15.9079245263,-47.6088490446
0011622,53,530010,UBS 13 SAO JOSE PLANALTINA,DF 250 NUCLEO RURAL SAO JOSE AREA ESPECIAL,PLANALTINA,-15.704136,-47.373487
0011630,53,530010,UBS 8 PADDF PARANOA,COLONIA AGRICOLA BR 251 KM 07,PARANOA,-16.0134068271,-47.5584395825
0011657,53,530010,UBS 04 GUARA,EQ 02 03 CONJUNTO LUCIO COSTA,GUARA I,-15.8102214758,-47.9885494709
0207306,53,530010,UBS 21 CDP II SAO SEBASTIAO,RODOVIA 465 KM,SAO SEBASTIAO,-15.9155449411,-47.7861714363
0263680,53,530010,UBS 01 DCCP,SPO LOTE 23 CONJ D EDIF DO DEPART POLICIA ESP,ASA SUL,-15.8088743254,-47.9284572601
0736260,53,530010,UBS 1 JARDINS MANGUEIRAL,PRACA DE ATIVIDADES 02 LOTE 01,JARDIM BOTANICO,-15.889197,-47.813541
0957755,53,530010,UBS 7 BURITIZINHO SOBRADINHO II,QUADRA 05 AREA ESPECIAL A,SOBRADINHO II,-15.6513871182,-47.828142643
2360233,53,530010,UBS 7 JARDIM RORIZ PLANALTINA,ENTREQUADRAS 3 4 AREA ESPECIAL,PLANALTINA,-15.602834,-47.648301
2660199,53,530010,UBS 03 RIACHO FUNDO II,QN 07 A B LOTES 1 E 2 AREA ESPECIAL,RIACHO FUNDO II,-15.8852348035,-48.0234020948
2672235,53,530010,UBS 9 SANTOS DUMONT PLANALTINA,NUCLEO RURAL SANTOS DUMONT DF 130 KM 25,PLANALTINA,-15.6792686,-47.6482898
2673894,53,530010,UBS 10 SANTA MARIA,AREA ESPECIAL DO DVO RUA DO EUCALIPTO N,SANTA MARIA,-16.0463496173,-48.0431485176
2779331,53,530010,UBS 13 GAMA CASA GRANDE,NUCLEO RURAL CASA GRANDE MONJOLO,GAMA,-15.9645577172,-48.1004244089
2779374,53,530010,UBS 01 ESTRUTURAL,AREA ESPECIAL 02 SETOR CENTRAL VILA ESTRUTURAL,ESTRUTURAL,-15.7834183498,-47.9971593017
2779404,53,530010,UBS 9 ENGENHO DAS LAGES GAMA,RUA LIBANIO,GAMA,-16.0435347426,-48.2539379597
2804107,53,530010,UBS 6 CARIRU PARANOA,COLONIA AGRICOLA DF 120 AE,PARANOA,-15.9068638806,-47.5172634442
2804123,53,530010,UBS 12 BICA DO DER PLANALTINA,RODOVIA DF 128 KM 21,PLANALTINA,-15.6564113,-47.6948355
2804247,53,530010,UBS 08 RECANTO DAS EMAS SAO FRANCISCO,DF 280 KM 03 QD 04 SETOR HABITACIONAL AGUA QUENTE,RECANTO DAS EMAS,-15.93752,-48.228113
2804360,53,530010,UBS 1 ENGENHO VELHO FERCAL,DF 150 KM 12 QUADRA 10 CASA,FERCAL,-15.6002731751,-47.8715568781
2804387,53,530010,UBS 6 LAGO OESTE SOBRADINHO,RODOVIA DF 001 KM 120 CHACARA,SOBRADINHO,-15.619113,-47.948548
3027635,53,530010,UBS 15 PFDF GAMA,GRANJA LUIZ FERNANDO AESP 02,SETOR LESTE,-16.0049989276,-48.0416893959
3027643,53,530010,UBS 17 PDF II SAO SEBASTIAO,ROD DF 465 KM,SAO SEBASTIAO,-15.9091479477,-47.8096032143
3027651,53,530010,UBS 01 SIA CPP,SIA TRECHO 04 LOTES 1600 1680,GUARA,-15.8033875624,-47.9579293728
3028011,53,530010,UBS 15 CIR SAO SEBASTIAO,ROD DF 465 KM,SAO SEBASTIAO,-15.912846,-47.806866
3144542,53,530010,UBS 13 BOA ESPERANCA CEILANDIA,NUCLEO RURAL BOA ESPERANCA,N R B ESPERANCA,-15.82861,-48.246674
3144550,53,530010,UBS 3 SANTA MARIA,QR 100 CONJ I LOTE,SANTA MARIA,-16.0473703862,-48.0370867252
3144569,53,530010,UBS 7 SANTA MARIA,AV BRIGADEIRO PINTO DE MOURA,SANTA MARIA,-15.9932108653,-47.9881256819
3144577,53,530010,UBS 11 PONTE ALTA NORTE GAMA,DF 475 KM 5 NUCLEO RURAL,GAMA,-15.9807001142,-48.0719125271
3144593,53,530010,UBS 5 SANTA MARIA,EQ 213 313 LOTE E,SANTA MARIA,-16.0102584685,-48.0023145676
3144607,53,530010,UBS 6 SANTA MARIA,QR 202 302 LOTE 2,SANTA MARIA,-16.040075,-48.030621
3144615,53,530010,UBS 12 PONTE ALTA GAMA,ANTIGO POSTO DA RECEITA FEDERAL DF,GAMA,-16.0091137567,-48.1597870588
3144631,53,530010,UBS 5 CHAPADINHA BRAZLANDIA,RESERVA A GLEBA 02 CHAPADINHA,BRAZLANDIA,-15.672478,-48.149541
3144658,53,530010,UBS 3 VEREDAS I BRAZLANDIA,QUADRA 3 LOTE 6 AREA ESPECIAL N 2 SETOR VEREDAS I,SETOR VEREDAS,-15.66992,-48.200562
3144666,53,530010,UBS 17 JARDIM MORUMBI PLANALTINA,NR JARDIM MORUMBI ROD DF 128 KM 3 GLEBA F,PLANALTINA,-15.5236961,-47.618671
3212017,53,530010,UBS 6 SAO FRANCISCO SAO SEBASTIAO,PARQUE AGROPECUARIO DE SAO SEBASTIAO,SAO SEBASTIAO,-15.9144135653,-47.7581041551
3212025,53,530010,UBS 11 RESIDENCIAL DO BOSQUE 2 SAO SEBASTIAO,RUA 26 CONJ B CASA 17,SAO SEBASTIAO,-15.9120338484,-47.7514906431
3212033,53,530010,UBS 4 MORRO AZUL SAO SEBASTIAO,QUADRA 104 CONJ 04 AGENCIA DO TRABALHADOR,SAO SEBASTIAO,-15.894763437,-47.7825469038
3212068,53,530010,UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO,QUADRA 301 CONJ 06 LOTE 01,SAO SEBASTIAO,-15.9077267474,-47.7776673625
